,Unnamed: 0,index,lon,lat,geometry,d_water,d_park,d_lm
0,0,0,-87.85447335100002,41.644720066,POINT (-87.85447335100002 41.644720066),0.12396288411945695,0.14020589619455734,0.30864106794408386
1,1,1,-87.84800508020002,41.644720066,POINT (-87.84800508020002 41.644720066),0.11794588314759535,0.13400981778915647,0.30279743793613795
2,2,2,-87.84153680940003,41.644720066,POINT (-87.84153680940003 41.644720066),0.11197920841836118,0.12784070656223345,0.2969797048183567
3,3,3,-87.83506853860003,41.644720066,POINT (-87.83506853860003 41.644720066),0.10607110990491524,0.12170266348385105,0.2911894207927059
4,4,4,-87.82860026780003,41.644720066,POINT (-87.82860026780003 41.644720066),0.10022968170651107,0.11560063753319075,0.2854282563858543
5,5,5,-87.82213199700003,41.644720066,POINT (-87.82213199700003 41.644720066),0.09446996817931444,0.10954064794121428,0.2796980110040661
6,6,6,-87.81566372620003,41.644720066,POINT (-87.81566372620003 41.644720066),0.08880587271795372,0.1035300765911346,0.2740006245067274
7,7,7,-87.80919545540002,41.644720066,POINT (-87.80919545540002 41.644720066),0.08325799006706291,0.09757805604147407,0.2683381898925313
8,8,8,-87.80272718460002,41.644720066,POINT (-87.80272718460002 41.644720066),0.07785229505353924,0.09169598866355536,0.2627129671976905
9,9,9,-87.79625891380002,41.644720066,POINT (-87.79625891380002 41.644720066),0.07261982786854466,0.08589824624184678,0.2571273987094991
10,10,10,-87.78979064300002,41.644720066,POINT (-87.78979064300002 41.644720066),0.06759627177144217,0.0802031179702339,0.2515841256015507
11,11,11,-87.78332237220002,41.644720066,POINT (-87.78332237220002 41.644720066),0.06283748538431919,0.07463409818007995,0.24608600609657635
12,12,12,-87.77685410140002,41.644720066,POINT (-87.77685410140002 41.644720066),0.05840822061777461,0.06922163061099194,0.24063613525968164
13,13,13,-87.77038583060002,41.644720066,POINT (-87.77038583060002 41.644720066),0.054316911534280386,0.06400544298744965,0.2352378665163236
14,14,14,-87.76391755980002,41.644720066,POINT (-87.76391755980002 41.644720066),0.050650938528679065,0.05903758441771615,0.22989483497432425
15,15,15,-87.75744928900002,41.644720066,POINT (-87.75744928900002 41.644720066),0.04735774898634376,0.05438614777700752,0.2246109826052059
16,16,16,-87.75098101820002,41.644720066,POINT (-87.75098101820002 41.644720066),0.044582841690758906,0.050139274231387566,0.21939058530430314
17,17,17,-87.74451274740002,41.644720066,POINT (-87.74451274740002 41.644720066),0.04221043969273892,0.04640816334614328,0.21423828179794926
18,18,18,-87.73804447660002,41.644720066,POINT (-87.73804447660002 41.644720066),0.04067934994795213,0.04332626783094284,0.209159104295258
19,19,19,-87.73157620580002,41.644720066,POINT (-87.73157620580001 41.644720066),0.040144425012768575,0.04104010718113175,0.2041585106865044
20,20,20,-87.72510793500003,41.644720066,POINT (-87.72510793500001 41.644720066),0.04064501520860926,0.03968743333857372,0.19924241796404016
21,21,21,-87.71863966420003,41.644720066,POINT (-87.71863966420001 41.644720066),0.04214423705911168,0.039356332162889064,0.19441723637802094
22,22,22,-87.71217139340003,41.644720066,POINT (-87.71217139340001 41.644720066),0.04454069017904176,0.03953310391871366,0.1896899036318526
23,23,23,-87.70570312260003,41.644720066,POINT (-87.70570312260001 41.644720066),0.047697602634967605,0.040540315927201205,0.18506791816287346
24,24,24,-87.69923485180003,41.644720066,POINT (-87.69923485180001 41.644720066),0.05147743745472763,0.04251876267944541,0.18055937023788807
25,25,25,-87.69276658100003,41.644720066,POINT (-87.69276658100001 41.644720066),0.04642365425643832,0.042155921146490194,0.176172969216477
26,26,26,-87.68629831020003,41.644720066,POINT (-87.68629831020002 41.644720066),0.040194779450318664,0.04042546579290337,0.17116166415008288
27,27,27,-87.67983003940003,41.644720066,POINT (-87.67983003940002 41.644720066),0.03405527815012587,0.03850184714911432,0.1652137988421869
28,28,28,-87.6733617686,41.644720066,POINT (-87.67336176860002 41.644720066),0.02806386821144525,0.03621342732226874,0.15930649840917244
29,29,29,-87.6668934978,41.644720066,POINT (-87.66689349780002 41.644720066),0.022340019748884263,0.03256043245512262,0.1534444479191117
30,30,30,-87.660425227,41.644720066,POINT (-87.66042522700002 41.644720066),0.017153696979250753,0.029642725885172014,0.14763303767549646
31,31,31,-87.6539569562,41.644720066,POINT (-87.65395695620002 41.644720066),0.013156717372339472,0.02587977125220828,0.14187849056031132
32,32,32,-87.6474886854,41.644720066,POINT (-87.64748868540001 41.644720066),0.011645864427320842,0.020589786314372995,0.1361880149217655
33,33,33,-87.64102041459999,41.644720066,POINT (-87.64102041460001 41.644720066),0.0120211238026476,0.016165170264345267,0.13056998808025336
34,34,34,-87.63455214380001,41.644720066,POINT (-87.63455214380001 41.644720066),0.011605671387704335,0.013504192429140248,0.1250341762099796
35,35,35,-87.62808387300001,41.644720066,POINT (-87.62808387300001 41.644720066),0.008337749300704553,0.013651494401005588,0.1195919968393504
36,36,36,-87.62161560220001,41.644720066,POINT (-87.62161560220001 41.644720066),0.005497003452094774,0.015300895553337876,0.1142568302108124
