,index,Unnamed: 0,lat,lon,d_water,d_park,geometry,d_lm
0,0,0,41.644720066,-87.85447335100002,0.12396288411945695,0.14020589619455734,POINT (-87.85447335100002 41.644720066),0.30864106794408386
1,1,1,41.65218168168,-87.85447335100002,0.12149205601933866,0.13624302941637242,POINT (-87.85447335100002 41.65218168168),0.30554715743526417
2,2,2,41.65964329736,-87.85447335100002,0.11943698811302295,0.12944705980461108,POINT (-87.85447335100002 41.65964329736),0.30260564011430396
3,3,3,41.667104913040006,-87.85447335100002,0.11781370409235448,0.12272844387785027,POINT (-87.85447335100002 41.66710491304001),0.2998210013630061
4,4,4,41.67456652872,-87.85447335100002,0.11664518058970387,0.11610061153331967,POINT (-87.85447335100002 41.67456652872),0.2960679140344932
5,5,5,41.6820281444,-87.85447335100002,0.11594601698532148,0.10958003685551036,POINT (-87.85447335100002 41.6820281444),0.29212317204480187
6,6,6,41.68948976008,-87.85447335100002,0.1157247206599711,0.10318705525990786,POINT (-87.85447335100002 41.68948976008),0.28831712193329667
7,7,7,41.696951375759994,-87.85447335100002,0.11598100799347574,0.09694691169026272,POINT (-87.85447335100002 41.69695137575999),0.2846558086029442
8,8,8,41.70441299144,-87.85447335100002,0.1167128210812295,0.09089109096308606,POINT (-87.85447335100002 41.70441299144),0.28114488677548577
9,9,9,41.71187460712,-87.85447335100002,0.11791319863105752,0.0850589710950782,POINT (-87.85447335100002 41.71187460712),0.2777900587957017
10,10,10,41.7193362228,-87.85447335100002,0.119568029318826,0.0794997995479092,POINT (-87.85447335100002 41.7193362228),0.2745970458481849
11,11,11,41.72679783848,-87.85447335100002,0.12165876982807322,0.0742748888230349,POINT (-87.85447335100002 41.72679783848),0.27157155563219976
12,12,12,41.73425945416,-87.85447335100002,0.1241634017498096,0.06945971140382534,POINT (-87.85447335100002 41.73425945416),0.26871924658563123
13,13,13,41.741721069840004,-87.85447335100002,0.12705745082127692,0.06514518649941275,POINT (-87.85447335100002 41.74172106984),0.26586649956203895
14,14,14,41.74918268552,-87.85447335100002,0.1297514640437019,0.06143688270815745,POINT (-87.85447335100002 41.74918268552),0.26309531552749027
15,15,15,41.7566443012,-87.85447335100002,0.1259115227915943,0.05845029689283519,POINT (-87.85447335100002 41.7566443012),0.26049237533340863
16,16,16,41.76410591688,-87.85447335100002,0.12240642196806645,0.056300402076160334,POINT (-87.85447335100002 41.76410591688),0.2580789832169316
17,17,17,41.77156753256,-87.85447335100002,0.11926568711688434,0.05508524991434748,POINT (-87.85447335100002 41.77156753256),0.2558605029441652
18,18,18,41.77902914824001,-87.85447335100002,0.11651878614632424,0.054754693114152715,POINT (-87.85447335100002 41.77902914824001),0.2536927386256083
19,19,19,41.78649076392,-87.85447335100002,0.11419414321091595,0.05454915971360715,POINT (-87.85447335100002 41.78649076392),0.2515080549788461
20,20,20,41.7939523796,-87.85447335100002,0.11231797976926748,0.05530898166887386,POINT (-87.85447335100002 41.7939523796),0.2495206070637783
21,21,21,41.80141399528,-87.85447335100002,0.1109130570867832,0.05596294184084885,POINT (-87.85447335100002 41.80141399528),0.24763421307614128
22,22,22,41.808875610959994,-87.85447335100002,0.10668610496052312,0.05678084581098981,POINT (-87.85447335100002 41.80887561095999),0.2457056965043759
23,23,23,41.81633722664,-87.85447335100002,0.10247644736392274,0.058545960233415135,POINT (-87.85447335100002 41.81633722664),0.2439902180839871
24,24,24,41.82379884232,-87.85447335100002,0.09865227292934488,0.06117635070356772,POINT (-87.85447335100002 41.82379884232),0.24249229918443926
25,25,25,41.831260458,-87.85447335100002,0.09525627211677794,0.06456635136254217,POINT (-87.85447335100002 41.831260458),0.24121599288594375
26,26,26,41.83872207368,-87.85447335100002,0.09233845547982338,0.0686034473495909,POINT (-87.85447335100002 41.83872207368),0.23874344682862672
27,27,27,41.84618368936,-87.85447335100002,0.08994651055112968,0.07318062356483061,POINT (-87.85447335100002 41.84618368936),0.23542611021736812
28,28,28,41.853645305040004,-87.85447335100002,0.08348105100896416,0.07820310581772857,POINT (-87.85447335100002 41.85364530504),0.23230115100372747
29,29,29,41.86110692072,-87.85447335100002,0.07603286883335289,0.07641686754686712,POINT (-87.85447335100002 41.86110692072),0.22937643200718674
30,30,30,41.8685685364,-87.85447335100002,0.06858760693893956,0.06897417663426343,POINT (-87.85447335100002 41.8685685364),0.22665970480027817
31,31,31,41.87603015208,-87.85447335100002,0.06114633206745235,0.061536069554252185,POINT (-87.85447335100002 41.87603015208),0.22415853188550058
32,32,32,41.88349176776,-87.85447335100002,0.05371070137419445,0.05410443685234155,POINT (-87.85447335100002 41.88349176776),0.22188020297243463
33,33,33,41.89095338344001,-87.85447335100002,0.046283435222816936,0.04668237071041191,POINT (-87.85447335100002 41.89095338344001),0.21983103435610798
34,34,34,41.89841499912,-87.85447335100002,0.03886932887320732,0.039275295037614816,POINT (-87.85447335100002 41.89841499912),0.21801795707020508
35,35,35,41.9058766148,-87.85447335100002,0.03147768249402206,0.0318936558354654,POINT (-87.85447335100002 41.9058766148),0.2164470534822927
36,36,36,41.91333823048,-87.85447335100002,0.02412914587065684,0.02456039865154063,POINT (-87.85447335100002 41.91333823048),0.21377889436951994
37,37,37,41.920799846159994,-87.85447335100002,0.016880115011825802,0.017337026804101673,POINT (-87.85447335100002 41.92079984615999),0.2112743103248915
38,38,38,41.92826146184,-87.85447335100002,0.009950268785643935,0.010450867871705249,POINT (-87.85447335100002 41.92826146184),0.20900622992095927
